job_id,title,role_category,location,min_salary,max_salary,med_salary,avg_salary,pay_period,currency
3692302089,Data Scientist/ Product Analyst ,Data Science / ML,"San Francisco, CA",70.0,80.0,,75.0,HOURLY,USD
3693043848,Data Analyst,Data Analyst,"Oklahoma City, OK",35.0,38.0,,36.5,YEARLY,USD
3693044299,Data Analyst,Data Analyst,"Beaverton, OR",20.0,24.0,,22.0,HOURLY,USD
3693044310,C++ Software Engineer,Software Engineering,"Peoria, IL",42.0,55.0,,48.5,HOURLY,USD
3693044317,PL/SQL Developer,Developer,"Houston, TX",53.0,65.0,,59.0,HOURLY,USD
3693044376,Business Analyst,Business Analyst / BI,"Lyon, MI",30.0,33.0,,31.5,HOURLY,USD
3693044837,Business Data Analyst,Data Analyst,United States,80.0,85.0,,82.5,HOURLY,USD
3693045241,Software Engineer [72302],Software Engineering,"Bristol, CT",65.0,75.0,,70.0,HOURLY,USD
3693046316,Gaming Business Analyst ,Business Analyst / BI,"Bellevue, WA",98.0,99.0,,98.5,YEARLY,USD
3693046487,Data Analyst,Data Analyst,"Oklahoma City, OK",30.0,35.0,,32.5,HOURLY,USD
3693047703,Machine Learning Engineer,Data Science / ML,San Francisco Bay Area,180000.0,195000.0,,187500.0,YEARLY,USD
3693048882,Advisor Business Analyst,Business Analyst / BI,"Gainesville, MS",77100.0,110200.0,,93650.0,YEARLY,USD
3693050467,Software Engineer,Software Engineering,United States,80000.0,90000.0,,85000.0,YEARLY,USD
3693050917,Data Analyst,Data Analyst,"Pittsburgh, PA",70.0,70.0,,70.0,HOURLY,USD
3693052149,Marketing Analytics Coordinator,Analytics,"Nashville, TN",63000.0,70000.0,,66500.0,YEARLY,USD
3693052152,Business Intelligence Analyst,Business Analyst / BI,"Oklahoma City, OK",50000.0,60000.0,,55000.0,YEARLY,USD
3693052511,DHT - Front-End Software Engineer,Software Engineering,"Menlo Park, CA",160000.0,160000.0,,160000.0,YEARLY,USD
3693064864,Business Analyst V,Business Analyst / BI,"San Francisco, CA",65.0,70.0,,67.5,HOURLY,USD
3693069014,Data Analytics Specialist,Analytics,"Irvine, CA",50.0,50.0,,50.0,HOURLY,USD
3693069263,Software Engineer I - Remote,Software Engineering,"Austin, TX",77200.0,143400.0,,110300.0,YEARLY,USD
3693069638,Google Analytics Analyst,Analytics,"McLean, VA",120000.0,130000.0,,125000.0,YEARLY,USD
3693072155,"Business Analyst, Relay Mobile",Business Analyst / BI,"Bellevue, WA",59500.0,143100.0,,101300.0,YEARLY,USD
3693074335,Database Analyst,Other Tech/Data,"San Francisco, CA",85440.0,128200.0,,106820.0,YEARLY,USD
3693581751,"Specialist, Investment Analytics",Analytics,"Charlotte, NC",51900.0,89800.0,,70850.0,YEARLY,USD
3693583801,"Deputy Chief Product Group, Software Engineer, UI/UX &amp; Agile",Software Engineering,"New York, NY",108638.0,173373.0,,141005.5,YEARLY,USD
3693586589,Frontend Web Developer (Machine Learning),Data Science / ML,United States,77.0,82.0,,79.5,HOURLY,USD
3693586635,Software Engineer,Software Engineering,"Jessup, MD",47.0,52.5,,49.75,HOURLY,USD
3693587183,"Analyst, Vendor Analytics",Analytics,"San Diego, CA",139400.0,209100.0,,174250.0,YEARLY,USD
3693588071,Software Engineer (SE-2301),Software Engineering,"San Francisco, CA",136760.0,166420.0,,151590.0,YEARLY,USD
3693592002,Software Engineer,Software Engineering,United States,35.0,50.0,,42.5,HOURLY,USD
3693597495,Business Intelligence Engineer,Business Analyst / BI,"Bellevue, WA",79600.0,185000.0,,132300.0,YEARLY,USD
3693599929,Software Engineer,Software Engineering,"New York, NY",300000.0,450000.0,,375000.0,YEARLY,USD
3693599984,Entry Level Software Sales Executive,Other Tech/Data,Buffalo-Niagara Falls Area,60000.0,85000.0,,72500.0,YEARLY,USD
3694100577,Full Stack Software Engineer (Java),Software Engineering,United States,100000.0,125000.0,,112500.0,YEARLY,USD
3694101347,Software Engineer V-Full Stack (Strong Front-End),Software Engineering,United States,130000.0,160000.0,,145000.0,YEARLY,USD
3694101447,Python Developer,Developer,"McLean, VA",80.0,80.0,,80.0,HOURLY,USD
3694102363,Software Engineering Supervisor,Software Engineering,United States,120.0,150.0,,135.0,YEARLY,USD
3694102818,Business Analyst - SAP HR Payroll,Business Analyst / BI,"Austin, TX",45.0,50.0,,47.5,HOURLY,USD
3694103169,Human Resources Business Analyst,Business Analyst / BI,New York City Metropolitan Area,85000.0,95000.0,,90000.0,YEARLY,USD
3694103473,Product Data Analyst,Data Analyst,United States,108000.0,157000.0,,132500.0,YEARLY,USD
3694103812,Software Engineer (PERN Stack),Software Engineering,"Atlanta, GA",140000.0,160000.0,,150000.0,YEARLY,USD
3694104115,Embedded Software Engineer,Software Engineering,"Detroit, MI",140000.0,170000.0,,155000.0,YEARLY,USD
3694104211,ERP Business Analyst,Business Analyst / BI,Buffalo-Niagara Falls Area,55000.0,80000.0,,67500.0,YEARLY,USD
3694105420,Business Analyst,Business Analyst / BI,"City of Industry, CA",73000.0,73000.0,,73000.0,YEARLY,USD
3694107197,MID-LEVEL MS D365 F&O SOFTWARE ENGINEER (U.S. REMOTE),Software Engineering,United States,110000.0,140000.0,,125000.0,YEARLY,USD
3694115777,Business Analyst,Business Analyst / BI,"Austin, Texas Metropolitan Area",40.0,50.0,,45.0,HOURLY,USD
3694122335,Business Intelligence Developer,Business Analyst / BI,"Florida, United States",40.0,48.0,,44.0,HOURLY,USD
3697350743,Application Software Developer lll (Hybrid),Software Engineering,"Chicago, IL",86000.0,145000.0,,115500.0,YEARLY,USD
3697364133,Java Developer,Developer,United States,90000.0,115000.0,,102500.0,YEARLY,USD
3697377900,Machine Learning Scientist I,Data Science / ML,"Portland, OR",100500.0,164000.0,,132250.0,YEARLY,USD
3697379856,Machine Learning Scientist I,Data Science / ML,"Utah, United States",100500.0,164000.0,,132250.0,YEARLY,USD
3697382316,"Data Analyst, Real-Time Supply Management (Hybrid)",Data Analyst,"San Francisco, CA",128000.0,142000.0,,135000.0,YEARLY,USD
3697387964,Data Scientist,Data Science / ML,"Chantilly, VA",73100.0,166000.0,,119550.0,YEARLY,USD
3697390531,Data Scientist,Data Science / ML,"McLean, VA",73100.0,166000.0,,119550.0,YEARLY,USD
3697391430,Data Scientist,Data Science / ML,"Norfolk, VA",73000.0,166000.0,,119500.0,YEARLY,USD
3697394059,Salesforce Business Analyst,Business Analyst / BI,"Melbourne, FL",52200.0,119000.0,,85600.0,YEARLY,USD
3697394484,Software Engineer (Electrical Power Systems Software Engineer) (multiple position),Software Engineering,"Bothell, WA",127400.0,140760.0,,134080.0,YEARLY,USD
3697395126,Software Engineer - Content Systems,Software Engineering,United States,114000.0,139700.0,,126850.0,YEARLY,USD
3697399519,ServiceNow CMDB Business Analyst,Business Analyst / BI,"Seattle, WA",110000.0,120000.0,,115000.0,YEARLY,USD
3698000140,Machine Learning Engineer - Notifications,Data Science / ML,"San Francisco, CA",186000.0,262000.0,,224000.0,YEARLY,USD
3698001169,Oracle Business Intelligence Analyst,Business Analyst / BI,"Long Beach, CA",124800.0,131601.0,,128200.5,YEARLY,USD
